bairro,cidade,preco,dados,referencia,tipo
"SANTA MARIA","SAO CAETANO DO SUL","R$ 830.000,00","3 dormitórios - 3 suítes - 3 vagas - 155,00 m² de área construída - 132,00 m² de terreno","Ref.: 61992","SOBRADO"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 750.000,00","3 dormitórios - 1 vaga - 240,00 m² de área construída - 324,00 m² de terreno","Ref.: 62235","CASA TERREA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.350.000,00","3 dormitórios - 3 suítes - 6 vagas - 350,00 m² de área construída - 196,00 m² de terreno","Ref.: 61135","SOBRADO"
"PROSPERIDADE","SAO CAETANO DO SUL","R$ 1.300.000,00","4 dormitórios - 1 suíte - 8 vagas - 230,00 m² de área construída - 450,00 m² de terreno","Ref.: 61493","CASA TERREA"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 1.700.000,00","4 dormitórios - 3 suítes - 5 vagas - 300,00 m² de área construída - 360,00 m² de terreno","Ref.: 60705","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 600.000,00","2 dormitórios - 2 vagas - 111,00 m² de área construída - 100,00 m² de terreno","Ref.: 59469","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 2.400.000,00","4 dormitórios - 1 suíte - 3 vagas - 500,00 m² de área construída - 700,00 m² de terreno","Ref.: 60649","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 400.000,00","2 dormitórios - 1 vaga - 100,00 m² de área construída - 106,70 m² de terreno","Ref.: 62255","CASA TERREA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.400.000,00","3 dormitórios - 4 vagas - 214,00 m² de área construída - 456,00 m² de terreno","Ref.: 61828","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 1.050.000,00","3 dormitórios - 3 suítes - 5 vagas - 279,00 m² de área construída - 160,00 m² de terreno","Ref.: 62327","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 450.000,00","3 dormitórios - 2 vagas - 90,00 m² de área construída - 75,00 m² de terreno","Ref.: 62271","SOBRADO"
"OLIMPICO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 1 vaga - 155,00 m² de área construída - 149,00 m² de terreno","Ref.: 61469","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 800.000,00","3 dormitórios - 1 suíte - 2 vagas - 210,00 m² de área construída - 143,00 m² de terreno","Ref.: 61995","SOBRADO"
"BOA VISTA","SAO CAETANO DO SUL","R$ 700.000,00","3 dormitórios - 3 suítes - 2 vagas - 123,00 m² de área construída - 71,40 m² de terreno","Ref.: 62179","SOBRADO"
"JARDIM SAO CAETANO","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 1 suíte","Ref.: 61335","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 1.200.000,00","1 dormitório - 5 vagas - 224,00 m² de área construída - 450,20 m² de terreno","Ref.: 59896","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 480.000,00","3 dormitórios - 2 vagas - 140,00 m² de área construída - 77,00 m² de terreno","Ref.: 62193","SOBRADO"
"MAUA","SAO CAETANO DO SUL","R$ 530.000,00","2 dormitórios - 2 vagas - 100,00 m² de área construída - 165,75 m² de terreno","Ref.: 62317","CASA TERREA"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 500.000,00","3 dormitórios - 2 vagas - 99,00 m² de área construída - 60,42 m² de terreno","Ref.: 62047","SOBRADO"
"SANTA PAULA","SAO CAETANO DO SUL","R$ 1.320.000,00","3 dormitórios - 3 suítes - 6 vagas - 412,00 m² de área construída - 210,00 m² de terreno","Ref.: 61538","SOBRADO"
"OSVALDO CRUZ","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 3 suítes - 4 vagas - 292,00 m² de área construída - 165,00 m² de terreno","Ref.: 62300","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 560.000,00","2 dormitórios - 2 vagas - 150,00 m² de área construída - 250,00 m² de terreno","Ref.: 62037","CASA"
"OLIMPICO","SAO CAETANO DO SUL","R$ 850.000,00","3 dormitórios - 1 suíte - 3 vagas - 228,00 m² de área construída - 111,60 m² de terreno","Ref.: 61936","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 550.000,00","4 dormitórios - 6 vagas - 311,00 m² de área construída - 164,75 m² de terreno","Ref.: 61722","SOBRADO"
"BARCELONA","SAO CAETANO DO SUL","R$ 900.000,00","3 dormitórios - 2 suítes - 2 vagas - 251,00 m² de área construída - 139,70 m² de terreno","Ref.: 61638","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 1.200.000,00","3 dormitórios - 5 vagas - 200,00 m² de área construída - 500,00 m² de terreno","Ref.: 60872","CASA"
"NOVA GERTI","SAO CAETANO DO SUL","R$ 630.000,00","3 dormitórios - 1 suíte - 2 vagas - 170,00 m² de área construída - 150,00 m² de terreno","Ref.: 62415","SOBRADO"
"SANTA MARIA","SAO CAETANO DO SUL","R$ 750.000,00","1 dormitório - 1 vaga - 250,00 m² de terreno","Ref.: 61798","CASA"
"BARCELONA","SAO CAETANO DO SUL","R$ 300.000,00","2 dormitórios - 1 vaga - 80,00 m² de área construída - 48,00 m² de terreno","Ref.: 62188","SOBRADO"
